date	subject	eventType	object
1962-05-24	Mercury-Atlas_7	DEPARTS	Earth
1962-05-24	Mercury-Atlas_7	ARRIVES	LEO
1962-05-24	Mercury-Atlas_7	DEPARTS	LEO
1962-05-24	Mercury-Atlas_7	ARRIVES	Earth
1962-08-11	Vostok_3_Spacecraft	SUPPORTS	Vostok_3
1962-08-11	Andriyan_Nikolayev	JOINS	Vostok_3
1962-08-11	Vostok_3	DEPARTS	Earth
1962-08-11	Vostok_3	ARRIVES	LEO
1962-08-12	Vostok_4_Spacecraft	SUPPORTS	Vostok_4
1962-08-12	Pavel_Popovich	JOINS	Vostok_4
1962-08-12	Vostok_4	DEPARTS	Earth
1962-08-12	Vostok_4	ARRIVES	LEO
1962-08-15	Vostok_4	DEPARTS	LEO
1962-08-15	Vostok_3	DEPARTS	LEO
1962-08-15	Vostok_3	ARRIVES	Earth
1962-08-15	Vostok_4	ARRIVES	Earth
1962-10-03	Sigma_7	SUPPORTS	Mercury-Atlas_8
1962-10-03	Walter_Schirra	JOINS	Mercury-Atlas_8
1962-10-03	Mercury-Atlas_8	DEPARTS	Earth
1962-10-03	Mercury-Atlas_8	ARRIVES	LEO
1962-10-03	Mercury-Atlas_8	DEPARTS	LEO
1962-10-03	Mercury-Atlas_8	ARRIVES	Earth
1963-05-15	Faith_7	SUPPORTS	Mercury-Atlas_9
1963-05-15	Gordon_Cooper	JOINS	Mercury-Atlas_9
1963-05-15	Mercury-Atlas_9	DEPARTS	Earth
1963-05-15	Mercury-Atlas_9	ARRIVES	LEO
1963-05-16	Mercury-Atlas_9	DEPARTS	LEO
1963-05-16	Mercury-Atlas_9	ARRIVES	Earth
1963-06-14	Vostok_5_Spacecraft	SUPPORTS	Vostok_5
1963-06-14	Valery_Bykovsky	JOINS	Vostok_5
1963-06-14	Vostok_5	DEPARTS	Earth
1963-06-14	Vostok_5	ARRIVES	LEO
1963-06-16	Vostok_6_Spacecraft	SUPPORTS	Vostok_6
1963-06-16	Valentina_Tereshkova	JOINS	Vostok_6
1963-06-16	Vostok_6	DEPARTS	Earth
1963-06-16	Vostok_6	ARRIVES	LEO
1963-06-19	Vostok_6	DEPARTS	LEO
1963-06-19	Vostok_5	DEPARTS	LEO
1963-06-19	Vostok_6	ARRIVES	Earth
1963-06-19	Vostok_5	ARRIVES	Earth
1963-07-19	X-15 No.3	SUPPORTS	X-15_Flight_90
1963-07-19	Joseph_A._Walker	JOINS	X-15_Flight_90
1963-07-19	X-15_Flight_90	DEPARTS	Earth
1963-07-19	X-15_Flight_90	ARRIVES	Sub_Orbital
1963-07-19	X-15_Flight_90	DEPARTS	Sub_Orbital
1963-07-19	X-15_Flight_90	ARRIVES	Earth
