date	subject	eventType	object
1961-08-07T00:00:00.000	Vostok_2	DEPARTS	LEO
1961-08-07T00:00:00.000	Vostok_2	ARRIVES	Earth
1961-09-13T00:00:00.000	Mercury_No.8	SUPPORTS	Mercury-Atlas_4
1961-09-13T00:00:00.000	Mercury-Atlas_4	DEPARTS	Earth
1961-09-13T00:00:00.000	Mercury-Atlas_4	ARRIVES	LEO
1961-09-13T00:00:00.000	Mercury-Atlas_4	DEPARTS	LEO
1961-09-13T00:00:00.000	Mercury-Atlas_4	ARRIVES	Earth
1961-11-29T00:00:00.000	Mercury_No.9	SUPPORTS	Mercury-Atlas_5
1961-11-29T00:00:00.000	Mercury-Atlas_5	DEPARTS	Earth
1961-11-29T00:00:00.000	Mercury-Atlas_5	ARRIVES	LEO
1961-11-29T00:00:00.000	Mercury-Atlas_5	DEPARTS	LEO
1961-11-29T00:00:00.000	Mercury-Atlas_5	ARRIVES	Earth
1962-02-20T00:00:00.000	Friendship_7	SUPPORTS	Mercury-Atlas_6
1962-02-20T00:00:00.000	John_Glenn	JOINS	Mercury-Atlas_6
1962-02-20T00:00:00.000	Mercury-Atlas_6	DEPARTS	Earth
1962-02-20T00:00:00.000	Mercury-Atlas_6	ARRIVES	LEO
1962-02-20T00:00:00.000	Mercury-Atlas_6	DEPARTS	LEO
1962-02-20T00:00:00.000	Mercury-Atlas_6	ARRIVES	Earth
1962-05-24T00:00:00.000	Aurora_7	SUPPORTS	Mercury-Atlas_7
1962-05-24T00:00:00.000	Scott_Carpenter	JOINS	Mercury-Atlas_7
1962-05-24T00:00:00.000	Mercury-Atlas_7	DEPARTS	Earth
1962-05-24T00:00:00.000	Mercury-Atlas_7	ARRIVES	LEO
1962-05-24T00:00:00.000	Mercury-Atlas_7	DEPARTS	LEO
1962-05-24T00:00:00.000	Mercury-Atlas_7	ARRIVES	Earth
1962-08-11T00:00:00.000	Vostok_3_Spacecraft	SUPPORTS	Vostok_3
1962-08-11T00:00:00.000	Andriyan_Nikolayev	JOINS	Vostok_3
1962-08-11T00:00:00.000	Vostok_3	DEPARTS	Earth
1962-08-11T00:00:00.000	Vostok_3	ARRIVES	LEO
1962-08-12T00:00:00.000	Vostok_4_Spacecraft	SUPPORTS	Vostok_4
1962-08-12T00:00:00.000	Pavel_Popovich	JOINS	Vostok_4
1962-08-12T00:00:00.000	Vostok_4	DEPARTS	Earth
1962-08-12T00:00:00.000	Vostok_4	ARRIVES	LEO
1962-08-15T00:00:00.000	Vostok_4	DEPARTS	LEO
1962-08-15T00:00:00.000	Vostok_3	DEPARTS	LEO
1962-08-15T00:00:00.000	Vostok_3	ARRIVES	Earth
1962-08-15T00:00:00.000	Vostok_4	ARRIVES	Earth
1962-10-03T00:00:00.000	Sigma_7	SUPPORTS	Mercury-Atlas_8
1962-10-03T00:00:00.000	Walter_Schirra	JOINS	Mercury-Atlas_8
1962-10-03T00:00:00.000	Mercury-Atlas_8	DEPARTS	Earth
1962-10-03T00:00:00.000	Mercury-Atlas_8	ARRIVES	LEO
1962-10-03T00:00:00.000	Mercury-Atlas_8	DEPARTS	LEO
1962-10-03T00:00:00.000	Mercury-Atlas_8	ARRIVES	Earth
1963-05-15T00:00:00.000	Faith_7	SUPPORTS	Mercury-Atlas_9
1963-05-15T00:00:00.000	Gordon_Cooper	JOINS	Mercury-Atlas_9
1963-05-15T00:00:00.000	Mercury-Atlas_9	DEPARTS	Earth
1963-05-15T00:00:00.000	Mercury-Atlas_9	ARRIVES	LEO
1963-05-16T00:00:00.000	Mercury-Atlas_9	DEPARTS	LEO
1963-05-16T00:00:00.000	Mercury-Atlas_9	ARRIVES	Earth
1963-06-14T00:00:00.000	Vostok_5_Spacecraft	SUPPORTS	Vostok_5
1963-06-14T00:00:00.000	Valery_Bykovsky	JOINS	Vostok_5
1963-06-14T00:00:00.000	Vostok_5	DEPARTS	Earth
1963-06-14T00:00:00.000	Vostok_5	ARRIVES	LEO
1963-06-16T00:00:00.000	Vostok_6_Spacecraft	SUPPORTS	Vostok_6
1963-06-16T00:00:00.000	Valentina_Tereshkova	JOINS	Vostok_6
1963-06-16T00:00:00.000	Vostok_6	DEPARTS	Earth
1963-06-16T00:00:00.000	Vostok_6	ARRIVES	LEO
1963-06-19T00:00:00.000	Vostok_6	DEPARTS	LEO
1963-06-19T00:00:00.000	Vostok_5	DEPARTS	LEO
1963-06-19T00:00:00.000	Vostok_6	ARRIVES	Earth
1963-06-19T00:00:00.000	Vostok_5	ARRIVES	Earth
1963-07-19T00:00:00.000	X-15 No.3	SUPPORTS	X-15_Flight_90
1963-07-19T00:00:00.000	Joseph_A._Walker	JOINS	X-15_Flight_90
1963-07-19T00:00:00.000	X-15_Flight_90	DEPARTS	Earth
1963-07-19T00:00:00.000	X-15_Flight_90	ARRIVES	Sub_Orbital
1963-07-19T00:00:00.000	X-15_Flight_90	DEPARTS	Sub_Orbital
1963-07-19T00:00:00.000	X-15_Flight_90	ARRIVES	Earth
1963-08-22T00:00:00.000	X-15 No.3	SUPPORTS	X-15_Flight_91
1963-08-22T00:00:00.000	Joseph_A._Walker	JOINS	X-15_Flight_91
1963-08-22T00:00:00.000	X-15_Flight_91	DEPARTS	Earth
1963-08-22T00:00:00.000	X-15_Flight_91	ARRIVES	Sub_Orbital
1963-08-22T00:00:00.000	X-15_Flight_91	DEPARTS	Sub_Orbital
1963-08-22T00:00:00.000	X-15_Flight_91	ARRIVES	Earth
1964-04-08T00:00:00.000	Gemini SC1	SUPPORTS	Gemini_1
1964-04-08T00:00:00.000	Gemini_1	DEPARTS	Earth
1964-04-08T00:00:00.000	Gemini_1	ARRIVES	LEO
1964-04-12T00:00:00.000	Gemini_1	DEPARTS	LEO
1964-04-12T00:00:00.000	Gemini_1	ARRIVES	Sub_Orbital
1964-04-12T00:00:00.000	Gemini_1	ENDS	
1964-10-06T00:00:00.000	Vostok-3KV-2	SUPPORTS	Kosmos_47
1964-10-06T00:00:00.000	Kosmos_47	DEPARTS	Earth
1964-10-06T00:00:00.000	Kosmos_47	ARRIVES	LEO
1964-10-07T00:00:00.000	Kosmos_47	DEPARTS	LEO
1964-10-07T00:00:00.000	Kosmos_47	ARRIVES	Earth
1964-10-12T00:00:00.000	Voskhod_1_Spacecraft	SUPPORTS	Voskhod_1
1964-10-12T00:00:00.000	Vladimir_Komarov	JOINS	Voskhod_1
1964-10-12T00:00:00.000	Konstantin_Feoktistov	JOINS	Voskhod_1
1964-10-12T00:00:00.000	Boris_Yegorov	JOINS	Voskhod_1
1964-10-12T00:00:00.000	Voskhod_1	DEPARTS	Earth
1964-10-12T00:00:00.000	Voskhod_1	ARRIVES	LEO
1964-10-13T00:00:00.000	Voskhod_1	DEPARTS	LEO
1964-10-13T00:00:00.000	Voskhod_1	ARRIVES	Earth
1965-01-19T00:00:00.000	Gemini SC2	SUPPORTS	Gemini_2
1965-01-19T00:00:00.000	Gemini_2	DEPARTS	Earth
1965-01-19T00:00:00.000	Gemini_2	ARRIVES	Sub_Orbital
1965-01-19T00:00:00.000	Gemini_2	DEPARTS	Sub_Orbital
1965-01-19T00:00:00.000	Gemini_2	ARRIVES	Earth
1965-02-22T00:00:00.000	Vostok-3KV-3	SUPPORTS	Kosmos_57
1965-02-22T00:00:00.000	Kosmos_57	DEPARTS	Earth
1965-02-22T00:00:00.000	Kosmos_57	ARRIVES	LEO
1965-02-22T00:00:00.000	Kosmos_57	ENDS	
1965-03-18T00:00:00.000	Voskhod_2_Spacecraft	SUPPORTS	Voskhod_2
1965-03-18T00:00:00.000	Pavel_Belyayev	JOINS	Voskhod_2
1965-03-18T00:00:00.000	Alexei_Leonov	JOINS	Voskhod_2
1965-03-18T00:00:00.000	Voskhod_2	DEPARTS	Earth
1965-03-18T00:00:00.000	Voskhod_2	ARRIVES	LEO
1965-03-19T00:00:00.000	Voskhod_2	DEPARTS	LEO
1965-03-19T00:00:00.000	Voskhod_2	ARRIVES	Earth
1965-06-03T00:00:00.000	Gemini_4_Spacecraft	SUPPORTS	Gemini_4
1965-06-03T00:00:00.000	James_McDivitt	JOINS	Gemini_4
1965-06-03T00:00:00.000	Ed_White_(astronaut)	JOINS	Gemini_4
1965-06-03T00:00:00.000	Gemini_4	DEPARTS	Earth
1965-06-03T00:00:00.000	Gemini_4	ARRIVES	LEO
1965-06-07T00:00:00.000	Gemini_4	DEPARTS	LEO
1965-06-07T00:00:00.000	Gemini_4	ARRIVES	Earth
1965-08-21T00:00:00.000	Gemini_5_Spacecraft	SUPPORTS	Gemini_5
1965-08-21T00:00:00.000	Pete_Conrad	JOINS	Gemini_5
1965-08-21T00:00:00.000	Gordon_Cooper	JOINS	Gemini_5
1965-08-21T00:00:00.000	Gemini_5	DEPARTS	Earth
1965-08-21T00:00:00.000	Gemini_5	ARRIVES	LEO
1965-08-29T00:00:00.000	Gemini_5	DEPARTS	LEO
1965-08-29T00:00:00.000	Gemini_5	ARRIVES	Earth
1965-12-04T00:00:00.000	Gemini_7_Spacecraft	SUPPORTS	Gemini_7
1965-12-04T00:00:00.000	Jim_Lovell	JOINS	Gemini_7
1965-12-04T00:00:00.000	Frank_Borman	JOINS	Gemini_7
1965-12-04T00:00:00.000	Gemini_7	DEPARTS	Earth
1965-12-04T00:00:00.000	Gemini_7	ARRIVES	LEO
